trader_id,date,time,symbol,side,quantity,price,commission,total_amount,order_type,notes
T005,2024-02-26,09:40:00,GOOGL,Buy,72,144.70,9.95,10428.35,Market,Search giant
T005,2024-02-29,16:20:00,GOOGL,Sell,72,147.90,9.95,10648.85,Limit,Exit clean
T005,2024-03-06,10:30:00,RIVN,Buy,150,11.80,9.95,1779.95,Market,EV speculation
T005,2024-03-13,14:15:00,RIVN,Sell,150,9.60,9.95,1430.05,Stop,Bad trade
T005,2024-03-20,09:50:00,PLTR,Buy,200,23.40,9.95,4689.95,Market,AI software
T005,2024-03-27,15:40:00,PLTR,Sell,200,21.90,9.95,4370.05,Stop,Overvalued
T006,2024-01-03,09:25:00,BRK.B,Buy,120,365.20,9.95,43833.95,Market,Value investing
T006,2024-01-17,14:40:00,BRK.B,Sell,120,371.80,9.95,44606.05,Limit,Buffett premium
T006,2024-01-24,10:30:00,WMT,Buy,200,162.40,9.95,32489.95,Market,Retail defensive
T006,2024-02-07,15:15:00,WMT,Sell,200,168.90,9.95,33770.05,Limit,Steady retail
T006,2024-02-14,09:40:00,PG,Buy,150,158.30,9.95,23754.95,Market,Consumer staple
T006,2024-02-28,14:25:00,PG,Sell,150,162.70,9.95,24395.05,Limit,Dividend play
T006,2024-03-08,10:20:00,KO,Buy,280,59.80,9.95,16753.95,Market,Classic hold
T006,2024-03-22,15:50:00,KO,Sell,280,61.40,9.95,17182.05,Limit,Brand value
T007,2024-01-05,09:35:00,TSLA,Buy,180,197.30,9.95,35523.95,Market,Growth stock
T007,2024-01-19,14:20:00,TSLA,Sell,180,203.60,9.95,36638.05,Limit,Musk factor
T007,2024-01-26,10:45:00,NFLX,Buy,40,478.90,9.95,19165.95,Market,Streaming king
T007,2024-02-09,15:30:00,NFLX,Sell,40,495.20,9.95,19798.05,Limit,Content wins
T007,2024-02-16,09:50:00,DIS,Buy,130,112.30,9.95,14608.95,Market,Entertainment
T007,2024-03-01,14:35:00,DIS,Sell,130,118.60,9.95,15408.05,Limit,Parks recovery
T007,2024-03-12,10:15:00,BA,Buy,55,208.40,9.95,11471.95,Market,Aerospace bet
T007,2024-03-26,15:45:00,BA,Sell,55,195.70,9.95,10753.55,Stop,Quality issues
